run_name	search_thread_num	posting_topr_per_posting	posting_topr_global	query_count	recall	total_latency_ms	head_latency_ms	ex_latency_ms	batch_read_total_ms	approx_single_thread_qps	truth_count	coarse_recall	coarse_recall_after_dedupe	rerank_recall	final_recall	truth_recovered_by_head_result	truth_dropped_per_posting_topr	truth_dropped_global_topr	truth_dropped_rerank_topk	truth_missing_not_observed_in_scanned_posting	truth_missing_not_in_posting_reserved	truth_attribution_closure_error	unique_payload_pages	payload_candidates	candidates_per_payload_page	postings_with_payload	total_payload_page_spans	pages_read	payload_kb	requested_kb	distance_evaluated_count	rerank_candidate_count	coarse_candidate_count_before_dedupe	coarse_candidate_count_after_dedupe	query_csv
st1_pp32_pg128	1	32	128	10000.000000	0.925180	2.643963	0.400750	2.243213	1.088166	378.220176	10.000000	8.241100	8.241100	7.683300	9.251800	1.570700	0.001600	0.557800	0.002200	0.186600	0.000000	0.000000	65.340000	128.000000	1.958984	43.064800	130.037300	65.340000	261.360000	261.360000	128.000000	128.000000	1937.413400	1458.935000	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg128/query_io_stats.csv
st1_pp32_pg256	1	32	256	10000.000000	0.962050	3.200998	0.390551	2.810446	1.576002	312.402599	9.999000	8.240400	8.240400	8.053800	9.620500	1.570400	0.001600	0.186600	0.003700	0.186600	0.000000	0.000000	95.211400	256.000000	2.688754	54.667500	260.164200	95.211400	380.845600	380.845600	255.996100	256.000000	1937.413400	1458.935000	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg256/query_io_stats.csv
st1_pp32_pg384	1	32	384	10000.000000	0.972850	3.549171	0.387374	3.161798	1.857554	281.755905	9.998000	8.239500	8.239500	8.162500	9.728500	1.570100	0.001600	0.077000	0.004100	0.186800	0.000000	0.000000	112.316400	384.000000	3.418913	59.474100	390.262300	112.316400	449.265600	449.265600	383.958700	384.000000	1937.413400	1458.935000	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg384/query_io_stats.csv
st1_pp32_pg512	1	32	512	10000.000000	0.976890	3.820326	0.387374	3.432951	2.054462	261.757780	9.998000	8.239500	8.239500	8.203100	9.768900	1.570100	0.001600	0.036400	0.004300	0.186800	0.000000	0.000000	122.889100	511.989400	4.166272	61.681000	520.354800	122.889100	491.556400	491.556400	511.922500	511.989400	1937.413400	1458.935000	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg512/query_io_stats.csv
st1_pp32_pg768	1	32	768	10000.000000	0.979470	4.095611	0.389518	3.706093	2.237054	244.163819	9.995000	8.236900	8.236900	8.229300	9.794700	1.569700	0.001600	0.007600	0.004300	0.186800	0.000000	0.000000	133.924300	767.543100	5.731171	63.247800	780.088500	133.924300	535.697200	535.697200	767.293100	767.543100	1937.413400	1458.935000	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg768/query_io_stats.csv
st1_pp64_pg128	1	64	128	10000.000000	0.925180	3.078046	0.395710	2.682336	1.080179	324.881413	10.000000	8.242600	8.242600	7.683300	9.251800	1.570700	0.000100	0.559300	0.002200	0.186600	0.000000	0.000000	65.312200	128.000000	1.959818	43.041300	130.036600	65.312200	261.248800	261.248800	128.000000	128.000000	3082.070700	2480.742700	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg128/query_io_stats.csv
st1_pp64_pg256	1	64	256	10000.000000	0.962040	3.612670	0.404672	3.207998	1.551394	276.803560	9.999000	8.241900	8.241900	8.053700	9.620400	1.570400	0.000100	0.188200	0.003700	0.186600	0.000000	0.000000	94.960200	256.000000	2.695866	54.530500	260.161700	94.960200	379.840800	379.840800	255.996100	256.000000	3082.070700	2480.742700	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg256/query_io_stats.csv
st1_pp64_pg384	1	64	384	10000.000000	0.972760	3.916685	0.401116	3.515569	1.816483	255.317986	9.998000	8.241000	8.241000	8.161600	9.727600	1.570100	0.000100	0.079400	0.004100	0.186800	0.000000	0.000000	111.719300	384.000000	3.437186	59.225200	390.265000	111.719300	446.877200	446.877200	383.958700	384.000000	3082.070700	2480.742700	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg384/query_io_stats.csv
st1_pp64_pg512	1	64	512	10000.000000	0.976780	4.127989	0.399955	3.728034	1.985572	242.248713	9.998000	8.241000	8.241000	8.202000	9.767800	1.570100	0.000100	0.039000	0.004300	0.186800	0.000000	0.000000	121.977300	511.990000	4.197420	61.402600	520.352000	121.977300	487.909200	487.909200	511.923100	511.990000	3082.070700	2480.742700	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg512/query_io_stats.csv
st1_pp64_pg768	1	64	768	10000.000000	0.979250	4.371548	0.398822	3.972725	2.153210	228.751941	9.994000	8.237500	8.237500	8.227200	9.792500	1.569600	0.000100	0.010300	0.004300	0.186800	0.000000	0.000000	132.754600	767.741900	5.783166	63.032100	780.285600	132.754600	531.018400	531.018400	767.493000	767.741900	3082.070700	2480.742700	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg768/query_io_stats.csv
st1_pp96_pg128	1	96	128	10000.000000	0.925180	3.247421	0.401491	2.845931	1.085693	307.936629	10.000000	8.242700	8.242700	7.683300	9.251800	1.570700	0.000000	0.559400	0.002200	0.186600	0.000000	0.000000	65.312100	128.000000	1.959821	43.041200	130.036600	65.312100	261.248400	261.248400	128.000000	128.000000	3448.854200	2826.782000	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg128/query_io_stats.csv
st1_pp96_pg256	1	96	256	10000.000000	0.962040	3.774480	0.407675	3.366805	1.553402	264.937164	9.999000	8.242000	8.242000	8.053700	9.620400	1.570400	0.000000	0.188300	0.003700	0.186600	0.000000	0.000000	94.957700	256.000000	2.695937	54.528800	260.161700	94.957700	379.830800	379.830800	255.996100	256.000000	3448.854200	2826.782000	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg256/query_io_stats.csv
st1_pp96_pg384	1	96	384	10000.000000	0.972750	4.084481	0.404477	3.680004	1.820776	244.829159	9.998000	8.241100	8.241100	8.161500	9.727500	1.570100	0.000000	0.079600	0.004100	0.186800	0.000000	-0.000000	111.712100	384.000000	3.437407	59.221600	390.264700	111.712100	446.848400	446.848400	383.958700	384.000000	3448.854200	2826.782000	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg384/query_io_stats.csv
st1_pp96_pg512	1	96	512	10000.000000	0.976770	4.281280	0.400780	3.880499	1.981428	233.575011	9.998000	8.241100	8.241100	8.201900	9.767700	1.570100	0.000000	0.039200	0.004300	0.186800	0.000000	0.000000	121.960700	511.990000	4.197992	61.397300	520.351700	121.960700	487.842800	487.842800	511.923100	511.990000	3448.854200	2826.782000	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg512/query_io_stats.csv
st1_pp96_pg768	1	96	768	10000.000000	0.979260	4.542179	0.400832	4.141347	2.157423	220.158675	9.994000	8.237600	8.237600	8.227300	9.792600	1.569600	0.000000	0.010300	0.004300	0.186800	0.000000	0.000000	132.707700	767.742500	5.785214	63.023600	780.287100	132.707700	530.830800	530.830800	767.493600	767.742500	3448.854200	2826.782000	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg768/query_io_stats.csv
st1_pp128_pg128	1	128	128	10000.000000	0.925180	3.281041	0.403495	2.877546	1.082129	304.781346	10.000000	8.242700	8.242700	7.683300	9.251800	1.570700	0.000000	0.559400	0.002200	0.186600	0.000000	0.000000	65.312100	128.000000	1.959821	43.041200	130.036600	65.312100	261.248400	261.248400	128.000000	128.000000	3529.365300	2905.148900	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg128/query_io_stats.csv
st1_pp128_pg256	1	128	256	10000.000000	0.962040	3.813440	0.408355	3.405085	1.553201	262.230455	9.999000	8.242000	8.242000	8.053700	9.620400	1.570400	0.000000	0.188300	0.003700	0.186600	0.000000	0.000000	94.957700	256.000000	2.695937	54.528800	260.161700	94.957700	379.830800	379.830800	255.996100	256.000000	3529.365300	2905.148900	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg256/query_io_stats.csv
st1_pp128_pg384	1	128	384	10000.000000	0.972750	4.121719	0.404887	3.716832	1.818244	242.617213	9.998000	8.241100	8.241100	8.161500	9.727500	1.570100	0.000000	0.079600	0.004100	0.186800	0.000000	-0.000000	111.712100	384.000000	3.437407	59.221600	390.264700	111.712100	446.848400	446.848400	383.958700	384.000000	3529.365300	2905.148900	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg384/query_io_stats.csv
st1_pp128_pg512	1	128	512	10000.000000	0.976770	4.331595	0.401088	3.930507	1.989418	230.861842	9.998000	8.241100	8.241100	8.201900	9.767700	1.570100	0.000000	0.039200	0.004300	0.186800	0.000000	0.000000	121.960500	511.990000	4.197999	61.397200	520.351800	121.960500	487.842000	487.842000	511.923100	511.990000	3529.365300	2905.148900	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg512/query_io_stats.csv
st1_pp128_pg768	1	128	768	10000.000000	0.979260	4.563273	0.398434	4.164839	2.153788	219.140950	9.994000	8.237600	8.237600	8.227300	9.792600	1.569600	0.000000	0.010300	0.004300	0.186800	0.000000	0.000000	132.707100	767.742500	5.785241	63.023500	780.287300	132.707100	530.828400	530.828400	767.493600	767.742500	3529.365300	2905.148900	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg768/query_io_stats.csv
